Suction press,Discharge press,Voltage,Current,Flow Rate,HMR Diff,KWH Diff,HMR_Hours,Pressure_Difference,Pressure_Ratio,Electrical_Load,Flow_Utilization,Specific_Energy,Power_kW,Energy_per_Hour,Load_Index
162.0,199.0,417.0,19.0,780.0,0:01:00,0,0.0166666666666666,37.0,1.228395061728395,7923.0,0.78,0.0,0.0,0.0,0.9581481481481481
210.0,159.0,418.0,18.0,673.0,0:18:00,6,0.3,-51.0,0.7571428571428571,7524.0,0.673,0.008915304606240713,20.0,20.0,0.5095571428571428
215.0,134.0,418.0,17.0,416.0,0:17:00,6,0.2833333333333333,-81.0,0.6232558139534884,7106.0,0.416,0.014423076923076924,21.176470588235293,21.176470588235293,0.25927441860465117
198.0,79.0,417.0,16.0,220.0,1:13:00,25,1.2166666666666666,-119.0,0.398989898989899,6672.0,0.22,0.11363636363636363,20.547945205479454,20.547945205479454,0.08777777777777779
161.0,201.0,418.0,18.0,480.0,0:01:00,1,0.0166666666666666,40.0,1.2484472049689441,7524.0,0.48,0.0020833333333333333,60.00000000000024,60.00000000000024,0.5992546583850932
193.0,143.0,417.0,16.0,646.0,0:17:00,5,0.2833333333333333,-50.0,0.7409326424870466,6672.0,0.646,0.007739938080495356,17.647058823529413,17.647058823529413,0.4786424870466321
129.0,108.0,416.0,15.0,395.0,0:26:00,9,0.4333333333333333,-21.0,0.8372093023255814,6240.0,0.395,0.02278481012658228,20.76923076923077,20.76923076923077,0.3306976744186047
184.0,185.0,417.0,16.0,787.0,0:09:00,2,0.15,1.0,1.0054347826086956,6672.0,0.787,0.0025412960609911056,13.333333333333334,13.333333333333334,0.7912771739130434
115.0,163.0,416.0,15.0,540.0,0:18:00,7,0.3,48.0,1.4173913043478261,6240.0,0.54,0.012962962962962963,23.333333333333336,23.333333333333336,0.7653913043478262
208.0,131.0,415.0,15.0,393.0,0:11:00,4,0.1833333333333333,-77.0,0.6298076923076923,6225.0,0.393,0.010178117048346057,21.818181818181824,21.818181818181824,0.2475144230769231
67.0,87.0,417.0,16.0,275.0,0:33:00,11,0.55,20.0,1.2985074626865671,6672.0,0.275,0.04,20.0,20.0,0.357089552238806
137.0,176.0,416.0,15.0,132.0,1:14:00,24,1.2333333333333334,39.0,1.2846715328467153,6240.0,0.132,0.18181818181818182,19.45945945945946,19.45945945945946,0.16957664233576644
